Name	Package	Protection
com.google.android.apps.nexuslauncher.permission.READ_SETTINGS	com.google.android.apps.nexuslauncher	18
com.google.android.gms.auth.api.phone.permission.SEND	com.google.android.gms	2
android.permission.REAL_GET_TASKS	android	18
android.permission.ACCESS_CACHE_FILESYSTEM	android	18
android.permission.REMOTE_AUDIO_PLAYBACK	android	2
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION	com.android.providers.downloads	
com.google.android.apps.photos.permission.C2D_MESSAGE	com.google.android.apps.photos	2
android.permission.REGISTER_WINDOW_MANAGER_LISTENERS	android	2
android.permission.INTENT_FILTER_VERIFICATION_AGENT	android	18
android.permission.BIND_INCALL_SERVICE	android	18
android.permission.PROVIDE_RESOLVER_RANKER_SERVICE	android	18
com.google.android.gms.trustagent.framework.model.DATA_CHANGE_NOTIFICATION	com.google.android.gms	2
android.permission.WRITE_SETTINGS	android	1218
com.google.android.gm.permission.WRITE_GMAIL	com.google.android.gm	2
com.android.permission.INSTALL_EXISTING_PACKAGES	android	18
android.permission.READ_SMS	android	1
android.permission.CONTROL_KEYGUARD	android	2
android.permission.MANAGE_CAMERA	android	2
android.permission.READ_WALLPAPER_INTERNAL	android	18
com.google.android.calendar.permission.C2D_MESSAGE	com.google.android.calendar	2
android.permission.CONFIGURE_WIFI_DISPLAY	android	2
android.permission.CONFIGURE_DISPLAY_COLOR_MODE	android	2
android.permission.ACCESS_WIMAX_STATE	android	
android.permission.SET_INPUT_CALIBRATION	android	2
com.google.android.gms.matchstick.permission.BROADCAST_LIGHTER_WEB_INFO	com.google.android.gms	2
android.permission.RECOVERY	android	18
android.permission.TEMPORARY_ENABLE_ACCESSIBILITY	android	2
android.permission.SET_PROCESS_LIMIT	android	50
com.google.android.googleapps.permission.GOOGLE_AUTH.sitemaps	com.google.android.gsf	2
com.google.android.googlequicksearchbox.permission.C2D_MESSAGE	com.google.android.googlequicksearchbox	2
android.permission.READ_LOWPAN_CREDENTIAL	android	18
com.google.android.googleapps.permission.GOOGLE_AUTH.panoramio	com.google.android.gsf	
android.permission.FRAME_STATS	android	2
com.google.android.gm.permission.BROADCAST_INTERNAL	com.google.android.gm	2
com.google.android.gms.permission.APPINDEXING	com.google.android.gms	2
android.permission.READ_CALENDAR	android	1
android.permission.BRICK	android	2
android.permission.READ_CALL_LOG	android	1
com.google.android.c2dm.permission.RECEIVE	com.google.android.gsf	
android.permission.BIND_PRINT_RECOMMENDATION_SERVICE	android	2
com.google.android.videos.permission.MOCK_GCM_RECEIVE	com.google.android.videos	2
android.permission.ACCESS_FINE_LOCATION	android	4097
android.permission.RESTART_PACKAGES	android	
android.permission.STORAGE_INTERNAL	android	2
android.permission.USE_CREDENTIALS	android	
android.permission.TABLET_MODE	android	2
android.permission.NOTIFICATION_DURING_SETUP	android	18
android.permission.BIND_KEYGUARD_APPWIDGET	android	18
android.permission.NETWORK_BYPASS_PRIVATE_DNS	android	2
com.google.android.googleapps.permission.GOOGLE_AUTH.sierrasandbox	com.google.android.gsf	2
android.permission.READ_SYSTEM_UPDATE_INFO	android	2
android.permission.BIND_DEVICE_ADMIN	android	2
android.permission.MODIFY_AUDIO_SETTINGS	android	
android.permission.ACCESS_CHECKIN_PROPERTIES	android	18
android.permission.KILL_UID	android	258
android.permission.SIGNAL_PERSISTENT_PROCESSES	android	50
android.permission.BIND_PRINT_SERVICE	android	2
android.permission.ACCESS_NOTIFICATION_POLICY	android	
android.permission.ACTIVITY_EMBEDDING	android	50
android.permission.BIND_RUNTIME_PERMISSION_PRESENTER_SERVICE	android	2
android.permission.MODIFY_AUDIO_ROUTING	android	18
android.permission.RECEIVE_BLUETOOTH_MAP	android	18
android.permission.ACCESS_MOCK_LOCATION	android	2
android.permission.ACCESS_UCE_OPTIONS_SERVICE	android	18
android.permission.BIND_VR_LISTENER_SERVICE	android	2
android.permission.GET_APP_OPS_STATS	android	50
android.permission.RECEIVE_DATA_ACTIVITY_CHANGE	android	18
com.google.android.providers.gsf.permission.READ_GSERVICES	com.google.android.gsf	
android.permission.ANSWER_PHONE_CALLS	android	8193
com.google.android.setupwizard.WRITE_DEVICE_ORIGIN	com.google.android.setupwizard	18
com.google.android.youtube.permission.C2D_MESSAGE	com.google.android.youtube	2
android.permission.READ_WIFI_CREDENTIAL	android	18
android.permission.BIND_DREAM_SERVICE	android	2
android.permission.WRITE_GSERVICES	android	18
com.android.printspooler.permission.ACCESS_ALL_PRINT_JOBS	com.android.printspooler	2
android.permission.INSTALL_LOCATION_PROVIDER	android	18
com.google.android.voicesearch.AUDIO_FILE_ACCESS	com.google.android.googlequicksearchbox	2
android.permission.USE_RESERVED_DISK	android	18
android.permission.READ_RUNTIME_PROFILES	android	18
android.permission.MANAGE_ACCOUNTS	android	
android.permission.CONTROL_WIFI_DISPLAY	android	2
com.google.android.googleapps.permission.GOOGLE_AUTH.ah	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.cl	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.cp	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.ig	com.google.android.gsf	2
android.permission.SYSTEM_ALERT_WINDOW	android	1250
android.permission.INSTANT_APP_FOREGROUND_SERVICE	android	4194
android.permission.BIND_CARRIER_SERVICES	android	18
com.google.android.googleapps.permission.GOOGLE_AUTH.lh2	com.google.android.gsf	2
com.google.android.gsf.subscribedfeeds.permission.C2D_MESSAGE	com.google.android.gsf	2
android.permission.BROADCAST_PHONE_ACCOUNT_REGISTRATION	com.android.server.telecom	18
android.permission.START_TASKS_FROM_RECENTS	android	18
android.permission.NFC_TRANSACTION_EVENT	android	
com.google.android.providers.talk.permission.WRITE_ONLY	com.google.android.gsf	1
android.permission.CONTROL_LOCATION_UPDATES	android	18
com.google.android.googleapps.permission.GOOGLE_AUTH.gbase	com.google.android.gsf	2
com.google.android.gms.permission.BIND_NETWORK_TASK_SERVICE	com.google.android.gms	2
com.google.android.googleapps.permission.GOOGLE_AUTH.local	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.orkut	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.print	com.google.android.gsf	2
android.permission.RECEIVE_WAP_PUSH	android	1
android.permission.GET_TOP_ACTIVITY_INFO	android	2
com.google.android.gms.auth.authzen.permission.DEVICE_SYNC_FINISHED	com.google.android.gms	2
com.google.android.googleapps.permission.GOOGLE_AUTH.OTHER_SERVICES	com.google.android.gsf	2
android.permission.CLEAR_APP_USER_DATA	android	258
com.google.android.xmpp.permission.USE_XMPP_ENDPOINT	com.google.android.gsf	2
android.permission.PROVIDE_TRUST_AGENT	android	18
android.permission.SET_VOLUME_KEY_LONG_PRESS_LISTENER	android	50
android.permission.BROADCAST_CALLLOG_INFO	com.android.server.telecom	18
com.google.android.gms.chromesync.permission.CONTENT_PROVIDER_ACCESS	com.google.android.gms	2
android.permission.INSTALL_PACKAGES	android	18
android.permission.MANAGE_SOUND_TRIGGER	android	18
android.permission.SEND_RESPOND_VIA_MESSAGE	android	18
com.google.android.ims.providers.ACCESS_DATA	com.google.android.ims	18
com.android.permission.WHITELIST_BLUETOOTH_DEVICE	com.android.bluetooth	2
com.google.android.googleapps.permission.GOOGLE_AUTH.doraemon	com.google.android.gsf	
android.permission.ACCESS_FM_RADIO	android	18
android.permission.MANAGE_VOICE_KEYPHRASES	android	18
android.permission.SHUTDOWN	android	18
android.permission.CHANGE_COMPONENT_ENABLED_STATE	android	18
com.google.android.gms.permission.CHECKIN_NOW	com.google.android.gms	2
android.permission.BIND_QUICK_SETTINGS_TILE	android	2
android.permission.BIND_TV_INPUT	android	18
android.permission.NFC	android	
android.permission.MODIFY_PARENTAL_CONTROLS	android	18
android.permission.INTERNAL_SYSTEM_WINDOW	android	2
android.permission.PROCESS_PHONE_ACCOUNT_REGISTRATION	com.android.server.telecom	18
android.permission.RETRIEVE_WINDOW_TOKEN	android	2
android.permission.BIND_AUTOFILL	android	2
com.google.android.gms.learning.permission.LAUNCH_IN_APP_PROXY	com.google.android.gms	2
android.permission.NETWORK_SETTINGS	android	2
android.permission.MANAGE_AUDIO_POLICY	android	2
com.google.android.googleapps.permission.GOOGLE_AUTH.writely	com.google.android.gsf	2
com.google.android.gms.permission.SEND_ANDROID_PAY_DATA	com.google.android.gms	2
android.permission.BODY_SENSORS	android	1
com.google.android.gm.permission.AUTO_SEND	com.google.android.gm	2
android.permission.CHANGE_OVERLAY_PACKAGES	android	18
android.permission.BIND_WALLPAPER	android	18
android.permission.START_ANY_ACTIVITY	android	2
android.permission.CAMERA_SEND_SYSTEM_EVENTS	android	18
com.google.android.gms.permission.CAR_SPEED	com.google.android.gms	1
com.google.android.apps.now.OPT_IN_WIZARD	com.google.android.googlequicksearchbox	18
com.google.android.gms.auth.authzen.permission.GCM_DEVICE_PROXIMITY	com.google.android.gms	2
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS	com.android.providers.downloads	2
com.google.android.googlequicksearchbox.permission.FINISH_GEL_ACTIVITY	com.google.android.googlequicksearchbox	2
android.permission.GET_PROCESS_STATE_AND_OOM_SCORE	android	50
android.permission.BROADCAST_SMS	android	2
android.permission.CALL_PRIVILEGED	android	18
android.permission.BIND_INTENT_FILTER_VERIFIER	android	2
android.permission.READ_PHONE_NUMBERS	android	4097
android.permission.MANAGE_APP_TOKENS	android	2
android.permission.CHANGE_NETWORK_STATE	android	
android.permission.CAPTURE_TV_INPUT	android	18
android.permission.MASTER_CLEAR	android	18
android.permission.FOREGROUND_SERVICE	android	4096
android.permission.PERSISTENT_ACTIVITY	android	
android.permission.BIND_TELECOM_CONNECTION_SERVICE	android	18
android.permission.WRITE_SYNC_SETTINGS	android	
com.google.android.providers.gsf.permission.WRITE_GSERVICES	com.google.android.gsf	18
android.permission.SET_DEBUG_APP	android	50
android.permission.REQUEST_COMPANION_USE_DATA_IN_BACKGROUND	android	
com.android.systemui.permission.SEND_ALERT_BROADCASTS	com.android.systemui	1026
android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY	android	2
android.permission.RESET_SHORTCUT_MANAGER_THROTTLING	android	2
com.google.android.googleapps.permission.GOOGLE_AUTH.notebook	com.google.android.gsf	2
android.permission.RESET_FINGERPRINT_LOCKOUT	android	2
android.permission.STATSCOMPANION	android	2
android.permission.RECEIVE_BOOT_COMPLETED	android	
com.google.android.apps.inputmethod.latin.permission.UPDATE_STICKER_INDEX	com.google.android.inputmethod.latin	2
com.google.android.gms.permission.TRANSFER_WIFI_CREDENTIAL	com.google.android.gms	
com.google.android.googleapps.permission.GOOGLE_AUTH	com.google.android.gsf	2
android.permission.LOOP_RADIO	android	18
android.permission.GLOBAL_SEARCH_CONTROL	android	2
android.permission.SUBSCRIBED_FEEDS_READ	android	
com.google.android.gms.permission.NEARBY_START_DISCOVERER	com.google.android.gms	2
com.google.android.gms.auth.permission.POST_SIGN_IN_ACCOUNT	com.google.android.gms	2
android.permission.MANAGE_BIND_INSTANT_SERVICE	android	2
com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES	com.google.android.gsf	2
android.permission.PEERS_MAC_ADDRESS	android	2050
android.permission.DEVICE_POWER	android	2
com.google.android.providers.settings.permission.READ_GSETTINGS	com.google.android.gsf	2
android.permission.RECEIVE_MMS	android	1
android.permission.RECEIVE_SMS	android	1
com.google.android.gms.cloudsave.BIND_EVENT_BROADCAST	com.google.android.gms	18
android.permission.SET_TIME_ZONE	android	18
android.permission.REMOVE_TASKS	android	2
android.permission.READ_PRINT_SERVICES	android	1026
com.google.android.ambientindication.permission.AMBIENT_INDICATION	com.android.systemui	18
android.permission.MANAGE_SUBSCRIPTION_PLANS	android	18
com.google.android.googlequicksearchbox.permission.PAUSE_HOTWORD	com.google.android.googlequicksearchbox	18
android.permission.EXPAND_STATUS_BAR	android	
com.google.android.setupwizard.READ_DEFERRED_SETUP_REASON	com.google.android.setupwizard	18
com.android.launcher.permission.UNINSTALL_SHORTCUT	android	
android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS	android	2
com.google.android.gms.permission.REPORT_TAP	com.google.android.gms	2
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS	android	
android.permission.READ_PROFILE	android	
android.permission.BIND_VOICE_INTERACTION	android	2
com.google.android.gtalkservice.permission.SEND_HEARTBEAT	com.google.android.gsf	18
android.permission.BLUETOOTH	android	
android.permission.BROADCAST_WAP_PUSH	android	2
android.permission.CHANGE_WIFI_MULTICAST_STATE	android	
com.google.android.onetimeinitializer.permission.ONE_TIME_INITIALIZED	com.google.android.onetimeinitializer	2
android.permission.DVB_DEVICE	android	18
android.permission.PERFORM_SIM_ACTIVATION	android	18
android.permission.OPEN_APPLICATION_DETAILS_OPEN_BY_DEFAULT_PAGE	android	2
com.android.alarm.permission.SET_ALARM	android	
android.permission.CAPTURE_AUDIO_HOTWORD	android	18
android.permission.WRITE_MEDIA_STORAGE	android	18
android.permission.CONTROL_DISPLAY_SATURATION	android	18
com.android.voicemail.permission.READ_VOICEMAIL	android	18
android.permission.WRITE_BLOCKED_NUMBERS	android	2
android.permission.ACCESS_AMBIENT_LIGHT_STATS	android	50
android.permission.SET_ANIMATION_SCALE	android	50
com.google.android.gms.permission.AD_ID_NOTIFICATION	com.google.android.gms	
android.permission.WATCH_APPOPS	android	2
android.permission.GET_TASKS	android	
android.permission.BIND_CACHE_QUOTA_SERVICE	android	2
android.permission.BROADCAST_NETWORK_PRIVILEGED	android	18
android.permission.ACCESS_SURFACE_FLINGER	android	2
android.permission.SUBSCRIBED_FEEDS_WRITE	android	
android.permission.AUTHENTICATE_ACCOUNTS	android	
android.permission.INTERNET	android	4096
android.permission.BIND_RESOLVER_RANKER_SERVICE	android	2
com.android.vending.CHECK_LICENSE	com.android.vending	
android.permission.TV_INPUT_HARDWARE	android	18
com.android.vending.INTENT_VENDING_ONLY	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.knol	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.mail	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.news	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.talk	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.wifi	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.wise	com.google.android.gsf	2
android.permission.TRANSMIT_IR	android	
com.google.android.gms.permission.C2D_MESSAGE	com.google.android.gms	2
android.permission.RETRIEVE_WINDOW_CONTENT	android	18
com.google.firebase.auth.api.gms.permission.LAUNCH_FEDERATED_SIGN_IN	com.google.android.gms	2
com.breel.wallpapers.notifications	com.android.systemui	
android.permission.REORDER_TASKS	android	
android.permission.ACCESS_BROADCAST_RADIO	android	18
com.android.browser.permission.READ_HISTORY_BOOKMARKS	android	
android.permission.GET_INTENT_SENDER_INTENT	android	2
com.google.android.gms.nearby.exposurenotification.EXPOSURE_CALLBACK	com.google.android.gms	2
com.android.chrome.permission.CHILD_SERVICE	com.android.chrome	2
com.ticno.olymptrade.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.ticno.olymptrade	2
com.google.android.gms.permission.PHENOTYPE_OVERRIDE_FLAGS	com.google.android.gms	2
com.google.android.videos.permission.C2D_MESSAGE	com.google.android.videos	2
android.permission.REQUEST_COMPANION_RUN_IN_BACKGROUND	android	
android.permission.BLUETOOTH_ADMIN	android	
android.permission.CONTROL_VPN	android	18
android.permission.UPDATE_DEVICE_STATS	android	18
android.permission.BLUETOOTH_STACK	android	2
android.permission.BLUETOOTH_MAP	android	2
android.permission.READ_PRECISE_PHONE_STATE	android	18
com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION	com.google.android.gms	2
com.google.android.gms.magictether.permission.CONNECTED_HOST_CHANGED	com.google.android.gms	2
android.permission.MANAGE_FINGERPRINT	android	18
com.google.android.googleapps.permission.GOOGLE_AUTH.YouTubeUser	com.google.android.gsf	2
com.google.android.partnersetup.permission.UPDATE_CLIENT_ID	com.google.android.partnersetup	18
com.google.android.gms.permission.CONTACTS_SYNC_DELEGATION	com.google.android.gms	2
android.permission.WRITE_EMBEDDED_SUBSCRIPTIONS	android	50
android.permission.RECOVER_KEYSTORE	android	18
com.google.android.googleapps.permission.GOOGLE_AUTH.androidsecure	com.google.android.gsf	2
android.permission.NET_ADMIN	android	2
com.google.android.gms.permission.GAMES_DEBUG_SETTINGS	com.google.android.gms	2
android.permission.RESTRICTED_VR_ACCESS	android	1026
android.permission.CARRIER_FILTER_SMS	android	18
com.google.android.permission.BROADCAST_DATA_MESSAGE	com.google.android.gsf	18
com.google.android.gms.WRITE_VERIFY_APPS_CONSENT	com.google.android.gms	18
android.permission.PERFORM_CDMA_PROVISIONING	android	18
com.google.android.gms.trustagent.permission.TRUSTAGENT_STATE	com.google.android.gms	2
android.permission.BIND_CONNECTION_SERVICE	android	18
android.permission.READ_EXTERNAL_STORAGE	android	1
com.google.android.gm.permission.READ_CONTENT_PROVIDER	com.google.android.gm	1
android.permission.INSTALL_GRANT_RUNTIME_PERMISSIONS	android	770
android.permission.WRITE_SOCIAL_STREAM	android	
android.permission.ACCESS_INSTANT_APPS	android	770
android.permission.CONTROL_REMOTE_APP_TRANSITION_ANIMATIONS	android	18
android.permission.LAUNCH_TRUST_AGENT_SETTINGS	android	18
android.permission.REGISTER_CALL_PROVIDER	android	18
android.permission.GET_PACKAGE_SIZE	android	
android.permission.MODIFY_THEME_OVERLAY	android	2
android.permission.CLEAR_APP_GRANTED_URI_PERMISSIONS	android	2
com.google.android.c2dm.permission.SEND	com.google.android.gsf	18
android.permission.BIND_VPN_SERVICE	android	2
android.permission.systemui.IDENTITY	com.android.systemui	2
android.permission.TRUST_LISTENER	android	2
android.permission.ACCOUNT_MANAGER	android	2
android.permission.MANAGE_USB	android	18
com.google.android.partnersetup.permission.WRITE_APP_PROVIDER	com.google.android.partnersetup	18
android.permission.ACCESS_ALL_DOWNLOADS	com.android.providers.downloads	2
android.permission.ALLOCATE_AGGRESSIVE	android	18
android.permission.INTERACT_ACROSS_USERS_FULL	android	258
android.permission.CHANGE_ACCESSIBILITY_VOLUME	android	2
android.permission.BIND_APPWIDGET	android	18
com.google.android.gms.permission.PHENOTYPE_UPDATE_BROADCAST	com.google.android.gms	2
android.permission.STOP_APP_SWITCHES	android	18
android.permission.RECEIVE_MEDIA_RESOURCE_USAGE	android	18
android.permission.BATTERY_STATS	android	50
com.google.android.gms.permission.INTERNAL_BROADCAST	com.google.android.gms	2
android.permission.PACKAGE_USAGE_STATS	android	114
android.permission.WRITE_PROFILE	android	
android.permission.MOUNT_UNMOUNT_FILESYSTEMS	android	18
android.permission.GET_ACCOUNTS_PRIVILEGED	android	18
android.permission.READ_PRINT_SERVICE_RECOMMENDATIONS	android	1026
android.permission.TETHER_PRIVILEGED	android	18
android.permission.WRITE_SECURE_SETTINGS	android	50
android.permission.SERIAL_PORT	android	18
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE	android	2
android.permission.BIND_SCREENING_SERVICE	android	18
android.permission.FORCE_PERSISTABLE_URI_PERMISSIONS	android	2
android.permission.UNLIMITED_SHORTCUTS_API_CALLS	android	65538
android.permission.CAPTURE_AUDIO_OUTPUT	android	18
android.permission.BIND_MIDI_DEVICE_SERVICE	android	2
com.google.android.googleapps.permission.GOOGLE_AUTH.grandcentral	com.google.android.gsf	2
com.google.android.gms.auth.proximity.permission.SMS_CONNECT_SETUP_REQUESTED	com.google.android.gms	2
android.permission.ACCESS_COARSE_LOCATION	android	4097
android.permission.MOVE_PACKAGE	android	18
com.google.sensor.elmyra.permission.USE_RAW_SENSOR	com.android.systemui	1026
android.permission.SET_ACTIVITY_WATCHER	android	2
com.google.android.apps.messaging.services.ACCESS_JIBESERVICE	com.google.android.apps.messaging	
android.permission.READ_BLOCKED_NUMBERS	android	2
com.google.android.apps.wallpaper.NOTIFY_ROTATING_WALLPAPER_CHANGED	com.google.android.apps.wallpaper	2
android.permission.STATUS_BAR_SERVICE	android	2
android.permission.READ_SEARCH_INDEXABLES	android	18
android.permission.READ_PHONE_STATE	android	1
android.permission.NFC_HANDOVER_STATUS	android	18
android.permission.SCORE_NETWORKS	android	18
android.permission.PROVISION_MANAGED_DEVICE_SILENTLY	com.android.managedprovisioning	1026
android.permission.DIAGNOSTIC	android	2
com.google.android.googleapps.permission.GOOGLE_AUTH.jotspot	com.google.android.gsf	2
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS	android	
android.permission.RECEIVE_WIFI_CREDENTIAL_CHANGE	android	18
android.permission.READ_PRIVILEGED_PHONE_STATE	android	18
